"['kritzk', 'cleight', 'shpots', 'guayan', 'shaphs', 'cultsh', 'viusts']",['munked'],viusts kritzk cleight shaphs shpots guayan munked cultsh
"['squent', 'scrint', 'prient', 'strarg', 'swoods', 'pheants', 'shoust']",['compled'],shoust prient strarg scrint pheants squent swoods compled
"['crowst', 'browls', 'sweers', 'steets', 'mcgrish', 'smansm', 'sionds']",['coniand'],steets sweers coniand mcgrish smansm crowst browls sionds
"['shious', 'sneams', 'counds', 'speeps', 'veolls', 'mcgrish', 'chrots']",['nizings'],chrots counds mcgrish veolls shious speeps sneams nizings
"['louits', 'althst', 'steasts', 'squent', 'chloosm', 'fraint', 'procks']",['homents'],althst procks homents chloosm squent steasts fraint louits
"['grents', 'strods', 'sconts', 'shothg', 'shious', 'quiends', 'porths']",['popurs'],quiends shothg porths grents sconts popurs strods shious
"['playan', 'plicks', 'dairms', 'cracts', 'guarks', 'snards', 'bryawn']",['apponts'],guarks plicks playan apponts dairms snards cracts bryawn
"['thhell', 'beowns', 'fiells', 'freern', 'cracts', 'cultsh', 'cheaft']",['sprined'],thhell sprined freern beowns cheaft cracts cultsh fiells
"['dreans', 'croacts', 'shaphs', 'crowsk', 'speaux', 'smansm', 'scueez']",['courer'],scueez dreans shaphs crowsk speaux croacts courer smansm
"['siansm', 'thhell', 'pairks', 'prient', 'prient', 'stwang', 'porths']",['owness'],prient stwang prient porths pairks siansm thhell owness
"['drearthq', 'mcconth', 'trought', 'chasts', 'frients', 'keelds', 'prects']",['sarang'],keelds drearthq chasts mcconth sarang frients prects trought
"['squent', 'schaeadth', 'scouets', 'speaux', 'bruing', 'splawn', 'biocks']",['huffic'],squent biocks bruing speaux splawn schaeadth scouets huffic
"['fluffm', 'schbor', 'proths', 'chasts', 'shious', 'ployee', 'thdraw']",['ferrents'],chasts ployee shious ferrents thdraw schbor proths fluffm
"['ploint', 'wrigns', 'coexts', 'triums', 'steets', 'bluent', 'sweers']",['appees'],steets bluent triums wrigns sweers coexts appees ploint
"['tiocks', 'scueez', 'gloons', 'mcmiss', 'violds', 'sneaft', 'rounks']",['handia'],scueez mcmiss sneaft rounks tiocks violds gloons handia
"['boungs', 'stemph', 'wrents', 'sionds', 'freueitz', 'thents', 'failms']",['jehoism'],failms thents freueitz boungs wrents sionds jehoism stemph
"['sneams', 'scrint', 'trights', 'strous', 'clails', 'swiffs', 'prists']",['kinsest'],swiffs strous kinsest prists trights scrint clails sneams
"['hearks', 'chloosm', 'bourghts', 'croacts', 'frockhs', 'stemph', 'pheuer']",['dagown'],dagown chloosm pheuer hearks frockhs bourghts croacts stemph
"['gruffm', 'speaux', 'spberns', 'sionds', 'toucts', 'creast', 'darksh']",['nervied'],gruffm sionds speaux toucts darksh spberns creast nervied
"['guayed', 'broaks', 'reight', 'bryawn', 'schwess', 'squents', 'flounth']",['ankers'],bryawn ankers reight guayed schwess squents flounth broaks
"['freeps', 'triall', 'spards', 'sneaft', 'violds', 'trands', 'broint']",['antion'],sneaft antion spards freeps trands broint triall violds
"['driffs', 'strarg', 'mcmiss', 'porths', 'mccoill', 'speathm', 'sleeths']",['rescal'],mccoill porths strarg driffs sleeths speathm rescal mcmiss
"['preaks', 'darksh', 'croacts', 'reight', 'smelds', 'toucts', 'swoods']",['tarients'],smelds toucts croacts preaks reight swoods tarients darksh
"['struen', 'porths', 'bruing', 'chloosm', 'squism', 'preaks', 'coexts']",['breated'],struen breated coexts porths chloosm preaks squism bruing
"['charcs', 'shmarth', 'prects', 'pawnsh', 'drount', 'duound', 'scright']",['ackling'],prects scright ackling drount charcs pawnsh duound shmarth
"['schost', 'sweers', 'grents', 'tiocks', 'steasts', 'splant', 'schols']",['mastrors'],steasts grents mastrors schols splant tiocks schost sweers
"['townst', 'hearks', 'freeps', 'smists', 'mccass', 'scright', 'plughs']",['bothic'],townst freeps hearks bothic mccass smists plughs scright
"['spberns', 'paigns', 'neurch', 'stafts', 'snards', 'schols', 'sthert']",['hestens'],hestens stafts neurch sthert spberns schols paigns snards
"['brairs', 'snards', 'saucts', 'schrour', 'guists', 'pheants', 'cleight']",['symper'],brairs cleight pheants saucts symper guists schrour snards
"['swools', 'squers', 'shroll', 'bloors', 'tructs', 'flueal', 'sweeks']",['lonyons'],flueal tructs shroll lonyons bloors squers sweeks swools
"['scoutch', 'twight', 'shment', 'wholds', 'straph', 'thrits', 'shaphs']",['hoolous'],straph shment scoutch twight wholds shaphs thrits hoolous
"['sthert', 'steasts', 'sleeths', 'phying', 'drields', 'viusts', 'freans']",['bloonsion'],phying viusts bloonsion freans drields sleeths steasts sthert
"['coorts', 'bailts', 'bootch', 'scroyan', 'scoutch', 'freerl', 'hoosts']",['whiplish'],bootch bailts hoosts coorts scoutch scroyan freerl whiplish
"['triums', 'blails', 'breeng', 'drouch', 'cleight', 'schaeadth', 'grents']",['lonyons'],grents cleight lonyons drouch blails triums schaeadth breeng
"['heaphs', 'toucts', 'cloats', 'viusts', 'chrots', 'stphsor', 'bluent']",['swerens'],cloats heaphs toucts viusts chrots stphsor swerens bluent
"['brigns', 'maorts', 'sionds', 'splants', 'trands', 'grents', 'pleans']",['survus'],grents brigns splants survus trands sionds pleans maorts
"['shreyk', 'sthems', 'gruenct', 'plends', 'phying', 'louits', 'shious']",['explowd'],sthems gruenct shious plends phying shreyk louits explowd
"['whears', 'struen', 'breeng', 'squents', 'prient', 'fiells', 'hangth']",['vagush'],squents hangth prient breeng whears vagush fiells struen
"['squeez', 'stersks', 'schols', 'wrigns', 'speeps', 'raight', 'cleals']",['shamorb'],cleals wrigns shamorb stersks raight squeez schols speeps
"['drearthq', 'guayan', 'hiersh', 'reight', 'guinst', 'squent', 'thhell']",['oriars'],oriars guayan thhell drearthq reight hiersh guinst squent
"['brield', 'schold', 'siansm', 'preaks', 'houghts', 'patchm', 'sprift']",['gonsass'],patchm siansm sprift houghts gonsass brield schold preaks
"['prists', 'schbor', 'quiends', 'sheams', 'swools', 'stment', 'biolds']",['franets'],sheams biolds stment prists schbor swools franets quiends
"['szlock', 'keelds', 'bruing', 'cuouts', 'guayed', 'steann', 'bourghts']",['hugges'],guayed cuouts hugges steann bourghts keelds bruing szlock
"['geards', 'shious', 'procks', 'freans', 'thrits', 'scueez', 'bloors']",['writian'],writian freans scueez shious bloors geards procks thrits
"['scright', 'broats', 'dients', 'claids', 'hoosts', 'hearks', 'brearts']",['canoct'],brearts claids scright canoct hearks dients hoosts broats
"['sweeks', 'cracts', 'broaks', 'viorts', 'strods', 'fiells', 'quairs']",['pectors'],pectors cracts strods broaks sweeks fiells quairs viorts
"['schols', 'patchm', 'proffs', 'freeps', 'frockhs', 'plicks', 'brearts']",['munked'],schols munked plicks proffs freeps patchm brearts frockhs
"['reings', 'scouets', 'sneaft', 'guyards', 'shours', 'qualth', 'trands']",['warbon'],scouets trands warbon reings shours qualth sneaft guyards
"['bloors', 'hearks', 'qualth', 'snards', 'coexts', 'squent', 'schols']",['dwingly'],schols bloors squent hearks snards qualth coexts dwingly
"['layant', 'hearks', 'flueal', 'mccaps', 'slound', 'shamps', 'spberns']",['planty'],layant shamps hearks spberns planty slound mccaps flueal
"['brighs', 'squent', 'spberns', 'schiss', 'clotts', 'struen', 'browls']",['whitches'],browls struen whitches schiss brighs clotts squent spberns
"['proths', 'brighs', 'fiells', 'ploint', 'guists', 'brunct', 'claids']",['clastness'],brunct clastness guists brighs fiells proths ploint claids
"['speathm', 'strous', 'proffs', 'squent', 'scouets', 'charcs', 'triums']",['burtuf'],scouets triums charcs speathm squent burtuf strous proffs
"['fiells', 'croils', 'bluent', 'kneeks', 'patchm', 'shroll', 'joulks']",['sexteets'],sexteets croils shroll fiells bluent kneeks patchm joulks
"['weants', 'freern', 'bryawn', 'vients', 'viorts', 'fiells', 'coills']",['stylight'],fiells coills weants viorts vients freern bryawn stylight
"['ployee', 'slound', 'drount', 'bapths', 'breans', 'weants', 'cultsh']",['lablee'],slound breans ployee bapths weants lablee cultsh drount
"['speathm', 'broaks', 'duound', 'cheaft', 'drount', 'playan', 'drouch']",['chardmott'],speathm playan drouch drount chardmott broaks cheaft duound
"['tiocks', 'quiends', 'chroon', 'bightch', 'flutzp', 'mcgrish', 'trought']",['miread'],tiocks trought bightch miread quiends mcgrish chroon flutzp
"['clains', 'clotts', 'crearths', 'neurch', 'mcconth', 'freeps', 'bailts']",['chorkets'],chorkets clains crearths freeps neurch bailts clotts mcconth
"['duound', 'charthm', 'plends', 'bryork', 'prient', 'mcgent', 'strarg']",['huckey'],bryork duound plends charthm mcgent huckey strarg prient
"['wholds', 'smelds', 'pheuer', 'coexts', 'stfulls', 'fraint', 'schwess']",['cordious'],schwess stfulls pheuer cordious coexts wholds smelds fraint
"['darksh', 'shiench', 'viorts', 'shroll', 'coorts', 'freeps', 'quiends']",['diseask'],quiends shroll coorts freeps shiench viorts diseask darksh
"['reight', 'pleans', 'shment', 'wheeds', 'psoids', 'blooks', 'sneaft']",['mustra'],sneaft reight blooks psoids shment pleans wheeds mustra
"['proths', 'gruffm', 'chfoss', 'cultsh', 'bryard', 'stwang', 'raight']",['mizing'],gruffm bryard proths cultsh stwang mizing raight chfoss
"['prient', 'biocks', 'prorts', 'spberns', 'ploint', 'hernst', 'shiench']",['nessne'],hernst biocks prient nessne ploint shiench spberns prorts
"['steann', 'procks', 'thents', 'stroes', 'shpots', 'breerls', 'prorts']",['capsied'],prorts shpots stroes thents capsied breerls procks steann
"['szlock', 'queams', 'strarg', 'fraint', 'poorns', 'quairs', 'kneeks']",['strigon'],szlock poorns queams quairs strarg strigon kneeks fraint
"['boungs', 'drields', 'cheaft', 'plicks', 'shients', 'scheed', 'queurs']",['mistre'],shients queurs boungs drields mistre plicks scheed cheaft
"['spours', 'prient', 'sneaft', 'teasks', 'strous', 'bryawn', 'chried']",['tracel'],spours strous tracel chried prient sneaft teasks bryawn
"['clearns', 'thrins', 'shients', 'shiench', 'pheants', 'frockhs', 'stroes']",['furlowns'],stroes shiench pheants frockhs shients furlowns thrins clearns
"['mccoill', 'breant', 'schiss', 'coills', 'trands', 'freans', 'claids']",['bousian'],bousian breant schiss coills trands mccoill freans claids
"['coyous', 'splawn', 'sweers', 'broint', 'chfoss', 'ploint', 'violds']",['eismist'],coyous splawn eismist violds ploint sweers chfoss broint
"['taeons', 'brairs', 'wholds', 'guists', 'stment', 'limphs', 'sneams']",['sparill'],sneams taeons stment limphs brairs wholds sparill guists
